Race	Gender	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	tag
American	F	F	F	T	T	False	F	T	T	0	True	1	false	1	1	F	false	false	false	false	False	False
American	female	T	F	True	True	0	false	F	F	1	F	T	1	0	True	0	false	True	False	F	F	True
American	female	True	T	False	False	True	F	0	T	False	True	T	T	0	F	false	1	false	True	T	False	True
African	female	T	False	False	False	1	F	True	True	True	T	0	0	1	F	F	True	T	F	False	True	True
European	female	0	1	False	False	false	F	False	False	false	T	T	True	F	True	T	1	T	F	0	T	False
African	F	T	F	True	False	T	0	1	F	F	1	1	T	1	1	1	F	0	True	F	False	False
Asian	F	T	F	False	False	false	false	0	T	0	False	False	1	0	false	T	False	T	1	True	false	False
asian	M	0	T	1	False	1	F	True	F	True	True	false	False	False	0	0	True	T	1	1	0	True
asian	M	F	false	0	False	T	false	1	False	False	false	T	F	False	True	True	1	false	True	T	T	True
asian	M	0	True	false	False	True	False	True	false	false	0	False	0	F	False	False	F	False	T	false	T	False
European	female	false	True	F	False	False	False	false	false	0	True	T	0	False	0	1	1	False	false	false	True	False
European	female	F	0	T	False	True	1	0	True	T	0	T	1	False	false	T	True	True	False	1	F	False
African	female	T	True	False	False	0	False	True	T	T	True	0	True	1	1	F	T	false	1	F	1	False
American	female	F	false	1	1	T	1	T	1	False	F	T	false	True	False	0	1	F	True	0	True	True
African	female	True	T	1	False	True	0	True	True	false	F	True	0	True	T	0	T	false	T	1	0	False
asian	M	1	False	F	False	F	1	F	0	0	True	false	False	True	F	F	false	false	T	0	F	False
Asian	F	T	false	false	False	T	0	0	F	True	True	True	F	F	1	True	1	F	False	F	True	True
European	F	True	F	True	False	0	F	1	false	1	True	F	F	1	F	F	True	True	T	T	F	False
asian	F	False	false	False	False	false	True	false	True	false	1	F	false	T	1	0	T	False	False	T	1	True
European	F	F	0	1	False	F	false	1	False	0	True	1	True	F	True	F	false	True	T	1	F	False
American	M	True	T	T	T	0	false	0	1	False	T	T	false	True	T	F	1	false	T	T	false	True
